file,time,shortest path count,area exploration
aStar_maze_0_solver_0.csv,2.271,75,50.25
aStar_maze_0_solver_0.csv,5.367,115,63.47
aStar_maze_0_solver_0.csv,8.613,279,59.45
aStar_maze_0_solver_0.csv,14.267,259,63.57
aStar_maze_0_solver_0.csv,10.386,471,31.46
dfs_maze_0_solver_1.csv,2.628,91,64.82
dfs_maze_0_solver_1.csv,6.745,115,83.07
dfs_maze_0_solver_1.csv,8.843,279,61.95
dfs_maze_0_solver_1.csv,20.701,259,97.6
dfs_maze_0_solver_1.csv,31.544,471,99
bfs_maze_0_solver_2.csv,3.025,91,76.88
bfs_maze_0_solver_2.csv,5.213,115,63.47
bfs_maze_0_solver_2.csv,12.251,279,89.24
bfs_maze_0_solver_2.csv,20.66,259,97.12
bfs_maze_0_solver_2.csv,30.663,471,92.77
aStar_maze_1_solver_0.csv,2.66,91,63.82
aStar_maze_1_solver_0.csv,5.341,115,63.47
aStar_maze_1_solver_0.csv,8.611,279,59.45
aStar_maze_1_solver_0.csv,14.265,259,63.57
aStar_maze_1_solver_0.csv,10.569,471,31.46
dfs_maze_1_solver_1.csv,2.62,91,64.82
dfs_maze_1_solver_1.csv,6.667,115,83.07
dfs_maze_1_solver_1.csv,8.679,279,61.95
dfs_maze_1_solver_1.csv,20.723,259,97.6
dfs_maze_1_solver_1.csv,32.865,471,99
bfs_maze_1_solver_2.csv,3.04,91,76.88
bfs_maze_1_solver_2.csv,5.213,115,63.47
bfs_maze_1_solver_2.csv,12.26,279,89.24
bfs_maze_1_solver_2.csv,20.649,259,97.12
bfs_maze_1_solver_2.csv,30.646,471,92.77
